2022-11-29 10:37:29.223 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:29, duration: 30
2022-11-29 10:37:30.246 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:30, duration: 30
2022-11-29 10:37:31.299 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:31, duration: 30
2022-11-29 10:37:32.332 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:32, duration: 30
2022-11-29 10:37:32.335 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:37:32.336 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:37:33.379 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:33, duration: 30
2022-11-29 10:37:34.420 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:34, duration: 30
2022-11-29 10:37:35.460 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:35, duration: 30
2022-11-29 10:37:36.500 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:36, duration: 30
2022-11-29 10:37:37.534 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:37, duration: 30
2022-11-29 10:37:38.572 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:38, duration: 30
2022-11-29 10:37:39.600 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:39, duration: 30
2022-11-29 10:37:40.637 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:40, duration: 30
2022-11-29 10:37:41.676 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:41, duration: 30
2022-11-29 10:37:42.708 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:42, duration: 30
2022-11-29 10:37:43.765 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:43, duration: 30
2022-11-29 10:37:44.789 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:44, duration: 30
2022-11-29 10:37:45.822 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:45, duration: 30
2022-11-29 10:37:46.871 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:46, duration: 30
2022-11-29 10:37:47.901 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:47, duration: 30
2022-11-29 10:37:47.902 |  generate_data   | 0183 |   DEBUG   | index:471 datalength: 0
2022-11-29 10:37:47.902 |  generate_data   | 0184 |   DEBUG   | dataList length: 0
2022-11-29 10:37:48.934 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:48, duration: 30
2022-11-29 10:37:49.957 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:49, duration: 30
2022-11-29 10:37:50.989 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:50, duration: 30
2022-11-29 10:37:52.030 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:52, duration: 30
2022-11-29 10:37:53.069 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:53, duration: 30
2022-11-29 10:37:54.102 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:54, duration: 30
2022-11-29 10:37:55.133 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:55, duration: 30
2022-11-29 10:37:56.162 |  generate_data   | 0179 |   DEBUG   | trend_data sent: 2022-11-29 10:37:56, duration: 30
